0.29,0,-0.4,-0.25,0.045,0,0,1,0.0411029,-0.378502,1.837,-4.09654,6.18907,-3.19701,-0.00241013,-0.233489,0.952586,-1.39115,1.9821,0.0416702
0.29,0,-0.4,-0.25,0.048,0,0,1,0.0441058,-0.378267,1.7821,-3.89357,5.83801,-2.93983,-0.00241013,-0.233489,0.952586,-1.39115,1.9821,0.0416702
0.29,0,-0.4,-0.25,0.051,0,0,1,0.0471087,-0.378031,1.7272,-3.69062,5.48695,-2.6826,-0.00241013,-0.233489,0.952586,-1.39115,1.9821,0.0416702
0.29,0,-0.4,-0.25,0.054,0,0,1,0.0501115,-0.377795,1.6723,-3.48765,5.13585,-2.42536,-0.00241013,-0.233489,0.952586,-1.39115,1.9821,0.0416702
0.29,0,-0.4,-0.25,0.057,0,0,1,0.0531144,-0.37756,1.61741,-3.28473,4.78488,-2.16826,-0.00241013,-0.233489,0.952586,-1.39115,1.9821,0.0416702
0.29,0,-0.4,-0.25,0.06,0,0,1,0.0561173,-0.377325,1.56252,-3.08181,4.43394,-1.91119,-0.00241013,-0.233489,0.952586,-1.39115,1.9821,0.0416702

0.29,0,-0.38,-0.25,0.042,0,0,1,0.0382974,-0.35953,1.77428,-3.96651,6.02087,-3.0931,-0.00241013,-0.233489,0.952586,-1.39115,1.9821,0.0416702
0.29,0,-0.38,-0.25,0.045,0,0,1,0.0413003,-0.359295,1.71939,-3.76357,5.66986,-2.83593,-0.00241013,-0.233489,0.952586,-1.39115,1.9821,0.0416702
0.29,0,-0.38,-0.25,0.048,0,0,1,0.0443031,-0.35906,1.6645,-3.56064,5.31889,-2.57885,-0.00241013,-0.233489,0.952586,-1.39115,1.9821,0.0416702
0.29,0,-0.38,-0.25,0.051,0,0,1,0.047306,-0.358824,1.6096,-3.35769,4.96784,-2.32165,-0.00241013,-0.233489,0.952586,-1.39115,1.9821,0.0416702
0.29,0,-0.38,-0.25,0.054,0,0,1,0.0503089,-0.358588,1.5547,-3.15474,4.61681,-2.06449,-0.00241013,-0.233489,0.952586,-1.39115,1.9821,0.0416702
0.29,0,-0.38,-0.25,0.057,0,0,1,0.0533117,-0.358353,1.49981,-2.95181,4.2658,-1.80732,-0.00241013,-0.233489,0.952586,-1.39115,1.9821,0.0416702
0.29,0,-0.38,-0.25,0.06,0,0,1,0.0563146,-0.358117,1.4449,-2.7488,3.91457,-1.54994,-0.00241013,-0.233489,0.952586,-1.39115,1.9821,0.0416702

0.29,0,-0.36,-0.25,0.039,0,0,1,0.0354919,-0.340559,1.71158,-3.83652,5.85276,-2.98927,-0.00241013,-0.233489,0.952586,-1.39115,1.9821,0.0416702
